name,1.5version,1.4version,URL,license,Delta Information,repo_name,PCF1.5_github_url,PCF1.4_url
sprockets,3.2.0,2.8,https://rubygems.org/gems/sprockets/versions/3.2.0,MIT,Version Changed,cf-mysql-broker,,,,,
rspec-expectations,2.14.0,2.14.0,https://github.com/rspec/rspec-expectations,MIT,No change,cf-mysql-broker,,
rspec-mocks,2.14.0,2.14.0,https://github.com/rspec/rspec-mocks,MIT,No change,cf-mysql-broker,,
ruby2ruby,2.1.4,None,https://rubygems.org/gems/ruby2ruby/versions/2.1.4,MIT,New in 1.5,cf-mysql-broker,,
sprockets-rails,2.3.1,2.0.0,https://rubygems.org/gems/sprockets-rails/versions/2.3.1,MIT,Version Changed,cf-mysql-broker,,,,,
simplecov-html,0.10.0,0.8.0,https://rubygems.org/gems/simplecov-html/versions/0.10.0,MIT,Version Changed,cf-mysql-broker,,,,,
simplecov,0.10.0,0.7.1,https://rubygems.org/gems/simplecov/versions/0.10.0,MIT,Version Changed,cf-mysql-broker,,,,,
sexp_processor,4.6.0,4.1,https://rubygems.org/gems/sexp_processor/versions/4.6.0,MIT,Version Changed,cf-mysql-broker,,,,,
ruby_parser,3.6.6,3.6.2,https://rubygems.org/gems/ruby_parser/versions/3.6.6,MIT,Version Changed,cf-mysql-broker,,,,,
safe_yaml,1.0.4,1.0.0,https://rubygems.org/gems/safe_yaml/versions/1.0.4,MIT,Version Changed,cf-mysql-broker,,,,,
sass,3.4.14,3.2.0,https://rubygems.org/gems/sass/versions/3.4.14,MIT,Version Changed,cf-mysql-broker,,,,,
sass-rails,5.0.3,4.0.3,https://rubygems.org/gems/sass-rails/versions/5.0.3,MIT,Version Changed,cf-mysql-broker,,,,,
railties,4.0.0,4.0.0,https://github.com/rails/rails/tree/master/railties,MIT,No change,cf-mysql-broker,,
sprockets-rails,2.0.0,2.0.0,https://github.com/rails/sprockets-rails,MIT,No change,cf-mysql-broker,,
simplecov-html,0.10.0,0.8.0,https://rubygems.org/gems/simplecov-html/versions/0.10.0,MIT,Version Changed,cf-mysql-broker,,,,,
json,1.8.0,None,https://rubygems.org/gems/json/versions/1.8.0,Ruby,New in 1.5,cf-mysql-broker,,
sexp_processor,4.0.0,4.1,https://rubygems.org/gems/sexp_processor/versions/4.0.0,N/A,Version Changed,cf-mysql-broker,https://github.com/seattlerb/sexp_processor,https://github.com/seattlerb/sexp_processor,MIT,,
activesupport,3.0.0,4.0.0,https://rubygems.org/gems/activesupport/versions/3.0.0,N/A,Version Changed,cf-mysql-broker,Not Found Github Url,https://github.com/rails/rails/tree/master/activesupport,MIT,,
railties,3.0.0,3.2.11,https://rubygems.org/gems/railties/versions/3.0.0,N/A,Version Changed,cf-mysql-broker,Not Found Github Url,https://github.com/rails/rails/tree/master/railties,MIT,,
ruby_parser,3.1.0,3.6.2,https://rubygems.org/gems/ruby_parser/versions/3.1.0,N/A,Version Changed,cf-mysql-broker,https://github.com/seattlerb/ruby_parser,https://github.com/seattlerb/ruby_parser,MIT,,
sprockets,2.8.0,2.8,https://rubygems.org/gems/sprockets/versions/2.8.0,N/A,Version Changed,cf-mysql-broker,Not Found Github Url,https://github.com/sstephenson/sprockets,MIT,mark,
